cosmo_true,cosmo_grid,cosmo_temp,q_par,q_perp,rs_true,rs_temp,rs_ratio,alpha_par,alpha_perp,f_true,f_grid
003,004,000,1.02131937,1.01131066,101.28577033,99.07921428,0.97821455,0.99906947,0.98927880,0.88047860,0.88843747
003,004,001,1.02131937,1.01131066,101.28577033,104.61538648,1.03287348,1.05489369,1.04455597,0.88047860,0.88843747
003,004,002,1.02131937,1.01131066,101.28577033,92.34253672,0.91170296,0.93113989,0.92201493,0.88047860,0.88843747
003,004,003,1.02131937,1.01131066,101.28577033,101.28577033,1.00000000,1.02131937,1.01131066,0.88047860,0.88843747
003,004,004,1.02131937,1.01131066,101.28577033,99.07921428,0.97821455,0.99906947,0.98927880,0.88047860,0.88843747
004,000,000,1.00000000,1.00000000,99.07921428,99.07921428,1.00000000,1.00000000,1.00000000,0.88843747,0.88843747
004,000,001,1.00000000,1.00000000,99.07921428,104.61538648,1.05587622,1.05587622,1.05587622,0.88843747,0.88843747
004,000,002,1.00000000,1.00000000,99.07921428,92.34253672,0.93200716,0.93200716,0.93200716,0.88843747,0.88843747
004,000,003,1.00000000,1.00000000,99.07921428,101.28577033,1.02227063,1.02227063,1.02227063,0.88843747,0.88843747
004,000,004,1.00000000,1.00000000,99.07921428,99.07921428,1.00000000,1.00000000,1.00000000,0.88843747,0.88843747
004,001,000,0.95417686,0.97544059,99.07921428,99.07921428,1.00000000,0.95417686,0.97544059,0.88843747,0.86973713
004,001,001,0.95417686,0.97544059,99.07921428,104.61538648,1.05587622,1.00749266,1.02994453,0.88843747,0.86973713
004,001,002,0.95417686,0.97544059,99.07921428,92.34253672,0.93200716,0.88929966,0.90911761,0.88843747,0.86973713
004,001,003,0.95417686,0.97544059,99.07921428,101.28577033,1.02227063,0.97542697,0.99716427,0.88843747,0.86973713
004,001,004,0.95417686,0.97544059,99.07921428,99.07921428,1.00000000,0.95417686,0.97544059,0.88843747,0.86973713
004,002,000,1.08672589,1.06762450,99.07921428,99.07921428,1.00000000,1.08672589,1.06762450,0.88843747,0.87608637
004,002,001,1.08672589,1.06762450,99.07921428,104.61538648,1.05587622,1.14744803,1.12727932,0.88843747,0.87608637
004,002,002,1.08672589,1.06762450,99.07921428,92.34253672,0.93200716,1.01283631,0.99503367,0.88843747,0.87608637
004,002,003,1.08672589,1.06762450,99.07921428,101.28577033,1.02227063,1.11092796,1.09140116,0.88843747,0.87608637
004,002,004,1.08672589,1.06762450,99.07921428,99.07921428,1.00000000,1.08672589,1.06762450,0.88843747,0.87608637
004,003,000,0.97912566,0.98881584,99.07921428,99.07921428,1.00000000,0.97912566,0.98881584,0.88843747,0.88047860
004,003,001,0.97912566,0.98881584,99.07921428,104.61538648,1.05587622,1.03383550,1.04406713,0.88843747,0.88047860
004,003,002,0.97912566,0.98881584,99.07921428,92.34253672,0.93200716,0.91255212,0.92158344,0.88843747,0.88047860
004,003,003,0.97912566,0.98881584,99.07921428,101.28577033,1.02227063,1.00093140,1.01083738,0.88843747,0.88047860
004,003,004,0.97912566,0.98881584,99.07921428,99.07921428,1.00000000,0.97912566,0.98881584,0.88843747,0.88047860
004,004,000,1.00000000,1.00000000,99.07921428,99.07921428,1.00000000,1.00000000,1.00000000,0.88843747,0.88843747
004,004,001,1.00000000,1.00000000,99.07921428,104.61538648,1.05587622,1.05587622,1.05587622,0.88843747,0.88843747
004,004,002,1.00000000,1.00000000,99.07921428,92.34253672,0.93200716,0.93200716,0.93200716,0.88843747,0.88843747
004,004,003,1.00000000,1.00000000,99.07921428,101.28577033,1.02227063,1.02227063,1.02227063,0.88843747,0.88843747
004,004,004,1.00000000,1.00000000,99.07921428,99.07921428,1.00000000,1.00000000,1.00000000,0.88843747,0.88843747
